ID,名称,地区,类别,上映日期
408,2015年李易峰杨幂喜剧爱情片《怦然星动》HD中英双字, 中国大陆, 喜剧/爱情, 2015-12-03(中国大陆)
409,2015年美国6.7分悬疑片《无理之人/情迷失控点》BD中英双字,美国,悬疑,2015-05-15(戛纳电影节)/2015-07-17(美国)
410,2015年陈柏霖孙艺珍动作悬疑片《坏蛋必须死》HD中英双字, 中国大陆/香港/韩国, 喜剧/动作/悬疑/犯罪, 2015-11-27(中国大陆)/2016-01-21(韩国)
411,2015年韩国7分爱情片《内在美/爱上变身情人》BD韩语中字,韩国,爱情,分　7.0/10 from 351 users
412,2015年陈建斌蒋勤勤喜剧冒险片《一个勺子》HD中英双字,中国大陆,剧情/喜剧/冒险,2014-11-16(金马影展)/2015-11-20(中国大陆)
413,2015年任贤齐舒淇喜剧爱情片《落跑吧爱情》BD国语中字,中国台湾,喜剧/爱情,分  5.3/10 from 15 users
414,2015年刘德华吴若甫剧情犯罪片《解救吾先生》BD国语中字,中国大陆,犯罪/剧情,2015-09-30(中国大陆)/2015-09-26(丝绸之路电影节)
415,2015年章子怡金城武爱情灾难片《太平轮(下)彼岸》BD国语中字,中国大陆/香港,剧情/爱情/灾难,2015-07-30(中国大陆)
416,2015年唐国强战争片《百团大战》BD中英双字,中国,战争,2015-08-28(中国大陆)
417,2015年美国7.3分喜剧片《实习生/高年级实习生》BD中英双字,美国,喜剧,2015-09-25(美国)
418,2014年连姆尼森7分动作惊悚片《空中营救》BD中英双字修复版,英国/法国/美国,动作/悬疑/惊悚,2014-02-28(美国)
419,2015年美国8分动作犯罪片《边境杀手/毒裁者》BD中英双字,美国,剧情/动作/犯罪,2015-10-02(美国)
420,2014年美国6.6分冒险片《博物馆奇妙夜3》BD中英双字修复版, 美国, 喜剧/奇幻/冒险, 2015-01-04(中国大陆)/2014-12-19(美国)
421,2015年郑恺郭采洁喜剧爱情片《前任2：备胎反击战》HD中英双字,中国大陆/香港,喜剧/爱情,2015-11-06(中国大陆)
422,2015年美国6分冒险奇幻片《小飞侠：幻梦启航》BD国英双语双字,美国/英国/澳大利亚,冒险/家庭/奇幻,"6.0/10 from 11,354 users"
