ID,名称,类型,地区,时长,上映时间,评分
86,射雕英雄传之东成西就 - The Eagle Shooting Heroes,"['喜剧', '奇幻', '武侠', '古装']",中国香港,113 分钟,1993-02-05 上映,9.0
87,蝙蝠侠：黑暗骑士 - The Dark Knight,"['剧情', '动作', '科幻', '惊悚', '犯罪']",美国、英国,152 分钟,2008-07-14 上映,9.0
88,无间道 - Infernal Affairs,"['剧情', '悬疑', '犯罪']",中国香港,101 分钟,2003-09-05 上映,9.0
89,教父2 - The Godfather: Part Ⅱ,"['剧情', '犯罪']",美国,202 分钟,1974-12-12 上映,9.0
90,加勒比海盗 - Pirates of the Caribbean: The Curse of the Black Pearl,"['动作', '奇幻', '冒险']",美国,143 分钟,2003-11-21 上映,9.0
91,哈利·波特与魔法石 - Harry Potter and the Sorcerer's Stone,"['奇幻', '冒险']",美国、英国,152 分钟,2002-01-26 上映,9.0
92,指环王3：王者无敌 - The Lord of the Rings: The Return of the King,"['剧情', '动作', '奇幻', '冒险']",美国、新西兰,201 分钟,2004-03-15 上映,9.0
93,黑客帝国 - The Matrix,"['动作', '科幻']",美国、澳大利亚,136 分钟,2000-01-14 上映,9.0
94,剪刀手爱德华 - Edward Scissorhands,"['剧情', '爱情', '奇幻']",美国,105 分钟,1990-12-06 上映,9.0
95,春光乍泄 - Happy Together,"['剧情', '爱情']",中国香港、日本、韩国,96 分钟,1997-05-17 上映,9.0
96,大闹天宫 - The Monkey King,"['动画', '奇幻']",中国大陆,114 分钟,1965-12-31 上映,9.0
97,天空之城 - 天空の城ラピュタ,"['动画', '奇幻', '冒险']",日本,125 分钟,1992-05-01 上映,9.0
98,音乐之声 - The Sound of Music,"['剧情', '爱情', '歌舞', '传记']",美国,174 分钟,1965-03-02 上映,9.0
99,辛德勒的名单 - Schindler's List,"['剧情', '历史', '战争']",美国,195 分钟,1993-11-30 上映,9.5
100,魂断蓝桥 - Waterloo Bridge,"['剧情', '爱情', '战争']",美国,108 分钟,1940-05-17 上映,9.5
